id,butterfly_taxon,host,publication,taxonomic_plausibility,supports_association,recommended_evidence_level,final_evidence_level,final_confidence,flags,adversarial_agree,justification
assoc_0033,Dircenna adina,Solanum nr asperum (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; imprecise-host-id,True,"Dircenna on Solanum is canonical; D&B 1987 via Beccaloni supports it. 'nr asperum' is provisional, so avoid exact species overlay."
assoc_0034,Dircenna adina,Solanum nr hazenii (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; imprecise-host-id,True,Dircenna adina on Solanum is canonical; D&B 1987 via Beccaloni supports it. 'nr hazenii' provisional; species-level uncertain.
assoc_0061,Dircenna klugii,Solanum nr rugosum (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; imprecise-host-id,True,Dircenna klugii on Solanum is canonical and well-attested; D&B 1987 via Beccaloni supports it. 'nr rugosum' provisional so species ID imprecise.
assoc_0066,Dircenna loreta,Solanum grandiflorum (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated,True,Dircenna on Solanum is canonical; exact species S. grandiflorum cited by D&B 1987 via Beccaloni. Catalogue-mediated so literature not direct.
assoc_0075,Dircenna olyras,Solanum nr rugosum (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; imprecise-host-id,True,Dircenna olyras on Solanum is canonical; D&B 1987 via Beccaloni supports it. 'nr rugosum' provisional; species-level imprecise.
assoc_0165,Episcada hymenaea,Solanum sisymbriifolium (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,needs_check,needs_check,low,catalogue-mediated; beccaloni-dubious-marker,True,"Episcada on Solanum is plausible, but Beccaloni flags this row dubious; keep needs_check pending an independent direct source despite D&B citation."
assoc_0159,Episcada hymenaea,Solanum sp.? sect. Geminata (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,low,catalogue-mediated; imprecise-host-id; host-id-queried,True,Episcada on Solanum is plausible; D&B 1987 via Beccaloni. Host marked 'sp.?' (queried) so identification uncertain even at genus.
assoc_0169,Episcada salvinia,Solanum sp. sect. Geminata (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,needs_check,needs_check,low,catalogue-mediated; beccaloni-dubious-marker; genus-level-host,True,"Episcada on Solanum is plausible, but Beccaloni flags row dubious; keep needs_check/exploratory pending primary verification."
assoc_0186,Eutresis hypereia,Schultesianthus megalandrus (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,needs_check,needs_check,low,catalogue-mediated; beccaloni-dubious-marker; unusual-host-genus,True,"Schultesianthus is Solanaceae (plausible for basal Ithomiini Eutresis), but Beccaloni flags row dubious; keep needs_check pending primary verification."
assoc_0191,Godyris kedema,Solanum nr ripense (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; imprecise-host-id,True,Godyris on Solanum is canonical; D&B 1987 via Beccaloni supports it. 'nr ripense' provisional so species-level imprecise.
assoc_0192,Godyris zavaleta,Cestrum sp. (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; genus-level-host; embedded-oviposition-note,True,"Godyris on Cestrum is canonical; multiple sources incl. D&B 1987 and a Mallet oviposition record. Catalogue-mediated, genus-level so literature/medium."
assoc_0203,Greta andromica,Solanum nr ripense (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; imprecise-host-id,True,Greta on Solanum is canonical Ithomiini; D&B 1987 via Beccaloni supports it. 'nr ripense' provisional so species-level imprecise.
assoc_0363,Heterosais giulia,Cestrum sp. (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; genus-level-host,True,Heterosais on Cestrum is canonical; D&B 1987 via Beccaloni (two countries) supports it. Host only to genus; catalogue-mediated so literature/medium.
assoc_0370,Hyalyris oulita,Solanum appressum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; subspecies-level-source-metella,True,Ithomiine on Solanum = canonical host. Beccaloni-via-Drummond&Brown1987; classic literature but not re-verified as direct rearing here.
assoc_0372,Hyalyris oulita,Solanum nr variabile (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-name-imprecise-nr,True,"Solanum host plausible for ithomiine; 'nr variabile' is provisional plant ID so species overlay unreliable. Literature-level, medium."
assoc_0376,Hypoleria lavinia,Solanum sp. sect. Geminata (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-genus-only-sp,True,"Hypoleria on Solanum is typical. Plant only to genus/section; catalogue-mediated Drummond&Brown record. Literature, medium."
assoc_0386,Hypothyris euclea,Solanum sp. sect. Brevantherum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-genus-only,True,Hypothyris on Solanum = standard ithomiine host. Genus-level only; literature-grade via Beccaloni/Drummond&Brown.
assoc_0388,Hypothyris euclea,Solanum nr asperum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-name-imprecise-nr,True,"Plausible Solanum host; 'nr asperum' provisional ID. Catalogue-mediated classic source. Literature, medium."
assoc_0405,Hypothyris ninonia,Solanum spp. sect. Lepidota (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-genus-only,True,Hypothyris on Solanum is canonical. Genus/section-level host; literature-grade despite worklist 'high'. Recommend medium.
assoc_0462,Ithomia lichyi,Athenaea picta (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,needs_check,needs_check,low,catalogue-mediated; beccaloni-marked-dubious; solanaceous-host-ok,True,"Athenaea is Solanaceae and plausible for Ithomia, but Beccaloni explicitly marks this row dubious; keep needs_check, low confidence."
assoc_0505,Mechanitis lysimnia,Solanum sp. sect. Brevantherum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-genus-only,True,Mechanitis on Solanum = textbook host. Genus-level only; literature-grade via Beccaloni/Drummond&Brown.
assoc_0498,Mechanitis lysimnia,Cyphomandra velutina (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,needs_check,needs_check,low,catalogue-mediated; beccaloni-marked-dubious; cyphomandra-now-solanum,True,"Cyphomandra (=Solanum) is a known Mechanitis host group, but Beccaloni flags this row dubious; recommend needs_check, low despite worklist 'high'."
assoc_0529,Mechanitis lysimnia,Solanum paniculatum (Solanaceae),Drummond & Brown 1987,plausible,supports,literature,literature,high,catalogue-mediated; two-independent-sources; beccaloni-embedded-primary,True,"S. paniculatum is a well-documented Mechanitis host; corroborated by Silva et al.1968 AND Drummond&Brown1987. Literature, high confidence."
assoc_0538,Mechanitis lysimnia,Solanum tuberosum (Solanaceae),Drummond & Brown 1987,atypical,plausible_uncertain,needs_check,literature,low,canonical-host-genus-solanum; cultivated-solanum-explicitly-in-scope; multiple-traceable-sources; catalogue-mediated-not-direct,True,"Potato is a cultivated/temperate Solanum; atypical wild host for Mechanitis. Beccaloni-dubious, Uruguay record. Needs_check, low."
assoc_0548,Mechanitis mazaeus,Solanum spp. subg. Leptostemonum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-genus-only,True,"Leptostemonum (spiny Solanum) is the classic Mechanitis host clade. Genus/subgenus-level; literature, medium."
assoc_0549,Mechanitis mazaeus,Solanum nr lancaeifolium (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-name-imprecise-nr,True,"Plausible Solanum host for Mechanitis; 'nr lancaeifolium' provisional ID. Catalogue-mediated classic source. Literature, medium."
assoc_0554,Mechanitis menapis,Solanum nr aculeatissimum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-name-imprecise-nr,True,"Spiny Solanum (aculeatissimum-like) is typical Mechanitis host; provisional 'nr' ID. Literature, medium."
assoc_0578,Mechanitis polymnia,Solanum sp. sect. Brevantherum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-genus-only; two-ssp-records,True,"M. polymnia on Solanum = canonical. Genus-level only, but two ssp localities in Drummond&Brown via Beccaloni. Literature, medium."
assoc_0579,Mechanitis polymnia,Solanum sp. sect. Solanum (Solanaceae),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; beccaloni-embedded-primary; host-genus-only; doi-points-to-beccaloni-catalogue,True,M. polymnia on Solanum is standard. Genus-level only; recommend medium not worklist 'high'. Literature-grade via Beccaloni/Drummond&Brown.
assoc_0580,Mechanitis polymnia,Solanum sp. (subg. Leptostemonum) [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,high,genus-level-host; beccaloni-compilation,True,Mechanitis polymnia is a textbook Solanum (Leptostemonum) feeder; D&B1987 via Beccaloni; genus-level only.
assoc_0588,Mechanitis polymnia,Solanum goodspeedii [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,high,beccaloni-compilation,True,"Solanum host fully consistent with Mechanitis; D&B1987 authoritative compilation (catalogue-level, not re-verified)."
assoc_0608,Mechanitis polymnia,Solanum rudepannum [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,high,beccaloni-compilation; multiple-corroborating-sources,True,Solanum host typical for Mechanitis; corroborated by D&B1987 plus Gentry&Dyer and Haber p.c.; literature-level.
assoc_0618,Mechanitis polymnia,Solanum variabile [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,high,beccaloni-compilation; multiple-corroborating-sources,True,Solanum host typical for Mechanitis; D&B1987 plus Silva et al.1968 and Freitas p.c. corroborate.
assoc_0672,Napeogenes tolosa,Solanum sp. [Solanaceae],Drummond & Brown 1987,plausible,plausible_uncertain,literature,needs_check,medium,genus-level-host; beccaloni-dubious-marker; beccaloni-compilation,True,"Solanum plausible for Napeogenes; flagged dubious in Beccaloni but two sources (D&B1987, DeVries1987); genus-level, medium."
assoc_0670,Napeogenes tolosa,Lycianthes nr multiflora [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,medium,uncertain-plant-id-nr; beccaloni-compilation,True,Lycianthes is a standard Ithomiini host and good fit for Napeogenes; 'nr' qualifier limits species certainty.
assoc_0679,Oleria astrea,Solanum nr chacoense [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,medium,uncertain-plant-id-nr; beccaloni-compilation,True,Solanum host consistent with Oleria; D&B1987 via Beccaloni; 'nr chacoense' makes species ID tentative.
assoc_0685,Oleria onega,Solanum sp. [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,medium,genus-level-host; beccaloni-compilation,True,Solanum plausible for Oleria onega; genus-level catalogue record from D&B1987.
assoc_0686,Oleria onega,Solanum sp. (sect. Micracantha) [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,medium,genus-level-host; beccaloni-compilation,True,"Solanum (sect. Micracantha) plausible for Oleria onega; genus-level, catalogue-backed D&B1987 record."
assoc_0691,Oleria onega,Solanum nr chacoense [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,medium,uncertain-plant-id-nr; beccaloni-compilation,True,Solanum host fits Oleria onega; D&B1987 via Beccaloni; 'nr chacoense' tentative species ID.
assoc_0700,Olyras crathis,Schultesianthus megalandrus [Solanaceae],Drummond & Brown 1987,plausible,plausible_uncertain,literature,needs_check,low,beccaloni-dubious-marker; unusual-solanaceae-genus; beccaloni-compilation,False,Schultesianthus is Solanaceae (Solandreae); plausible for Tithoreina genus Olyras; Beccaloni flags dubious so medium.
assoc_0701,Olyras crathis,Solandra grandiflora [Solanaceae],Drummond & Brown 1987,plausible,plausible_uncertain,literature,needs_check,low,beccaloni-dubious-marker; unusual-solanaceae-genus; beccaloni-compilation,False,Solandra is Solanaceae (Solandreae); plausible woody-Solanaceae host for Olyras; Beccaloni dubious marker lowers confidence.
assoc_0712,Placidina euryanassa,Cyphomandra betacea (=Solanum betaceum) [Solanaceae],Drummond & Brown 1987,plausible,plausible_uncertain,literature,needs_check,low,beccaloni-dubious-marker; beccaloni-compilation,True,"Cyphomandra/Solanum betaceum is Solanaceae and plausible, but Placidina mainly uses Brunfelsia; Beccaloni dubious, low confidence."
assoc_0713,Placidina euryanassa,Datura metel [Solanaceae],Drummond & Brown 1987,atypical,plausible_uncertain,needs_check,needs_check,low,datura-chemically-aberrant-host; placidina-brunfelsia-brugmansia-specialist; beccaloni-dubious-open-circle; dubious-catalogue-source-only; no-rearing-or-feeding-reported; over-promotion-rejected; confidence-corrected-from-stored-high,True,Datura is Solanaceae but atypical; Placidina feeds primarily on Brunfelsia; dubious marker plus introduced Datura metel; needs check.
assoc_0714,Placidina euryanassa,Datura stramonium [Solanaceae],Drummond & Brown 1987,atypical,plausible_uncertain,needs_check,needs_check,low,datura-chemically-aberrant-host; placidina-brunfelsia-brugmansia-specialist; beccaloni-dubious-open-circle; single-dubious-catalogue-source; no-rearing-or-feeding-reported; over-promotion-rejected,True,"Datura is atypical for Placidina (Brunfelsia specialist); Beccaloni dubious, single D&B1987 cite; needs check."
assoc_0723,Pseudoscada timna,Cestrum sp. [Solanaceae],Drummond & Brown 1987,plausible,supports,literature,literature,medium,genus-level-host; beccaloni-compilation,True,"Cestrum is a classic Ithomiini host and good fit for Pseudoscada; genus-level D&B1987 record, literature-level."
assoc_0732,Pteronymia artena,Solanaceae: Solanum sp. (section Geminata),Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; host-id-imprecise; genus-level-host-effectively,True,"Pteronymia on Solanum is textbook Ithomiini host; Drummond&Brown 1987 (ssp. beebei, Venezuela) plausibly supports it, but plant ID is 'sp.?' so species-level overlay unwarranted."
assoc_0744,Pteronymia latilla,Solanaceae: Solanum nr ripense,Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; host-id-imprecise; notes-template-mismatch,True,Pteronymia/Solanum is typical; Drummond&Brown 1987 supports the pairing. 'nr ripense' is tentative ID; notes_for_web_app cites Costa 1999 (template mismatch) but source trail is D&B 1987.
assoc_0756,Pteronymia simplex,"Solanaceae: Solanum spp. (section Geminata), genus-level",Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; genus-level-host,True,"Pteronymia simplex on Solanum (Costa Rica, ssp. simplex) is highly plausible and supported by Drummond&Brown 1987; genus-level host keeps confidence at medium."
assoc_0781,Pteronymia vestilla,Solanaceae: Solanum nr nudum,Drummond & Brown 1987,plausible,supports,literature,literature,medium,catalogue-mediated; host-id-imprecise,True,"Pteronymia/Solanum is classic; Drummond&Brown 1987 (ssp. sparsa, Ecuador) supports it. 'nr nudum' is tentative plant ID, so no exact-species overlay; catalogue-mediated keeps confidence medium."
assoc_0783,Sais rosalia,"Solanaceae: Lycianthes sp., genus-level",Drummond & Brown 1987,plausible,plausible_uncertain,literature,literature,medium,catalogue-mediated; genus-level-host; ocr-artifact-in-source-refs,True,"Sais (Apocynaceae-clade) on Solanaceous Lycianthes is plausible for Ithomiini; D&B 1987 (ssp. brasiliensis, Brazil) supports it. source_refs has OCR typo 'Go Drummond'; genus-level host -> medium."
assoc_0012,Callithomia alexirrhoe,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,needs_check,needs_check,low,beccaloni-dubious-marker; catalogue-only; host-genus-only,True,"Ithomiine on Solanum is taxonomically core, but Beccaloni flags this row dubious; Lamas-only catalogue trail, keep needs_check."
assoc_0017,Callithomia lenea,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; duplicate-key-in-csv,False,"Solanum is a typical Ithomiine host; plausible Beccaloni row citing Lamas 1985, catalogue-level literature not independently re-verified."
assoc_0022,Ceratinia neso,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; duplicate-key-in-csv,False,"Ceratinia on Solanum is a standard Ithomiine pairing; plausible Beccaloni/Lamas catalogue record, treated as literature."
assoc_0065,Dircenna loreta,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only,False,"Dircenna are Solanaceae feeders; Solanum host is expected, plausible catalogue record citing Lamas 1985."
assoc_0141,Episcada clausina,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; subspecies-level-source,False,"Episcada use Solanaceae (and some Apocynaceae); Solanum plausible, Lamas 1985 (ssp. polita) catalogue record, literature-level."
assoc_0189,Forbestra olivencia,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; confidence-downgraded-from-high,False,"Forbestra (Mechanitina) are Solanum specialists; pairing core, but Lamas-only catalogue trail caps at literature/medium, not high."
assoc_0294,Heliconius numata,Passiflora spp. (Passifloraceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,,False,"Heliconius numata is a heliconiine, not Ithomiini; Passiflora is its correct host. Flag as non-ithomiine Passifloraceae record; plausible catalogue literature."
assoc_0364,Heterosais giulia,Cestrum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; subspecies-level-source,False,"Heterosais (Dircennina) on Cestrum is a typical Ithomiine pairing; plausible Lamas 1985 (ssp. nephele) catalogue record, literature-level."
assoc_0387,Hypothyris euclea,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; subspecies-level-source; duplicate-key-in-csv,False,"Hypothyris feed on Solanum and Gesneriaceae; Solanum core and plausible, Lamas 1985 catalogue record at literature level."
assoc_0430,Ithomia agnosia,Acnistus spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; confidence-downgraded-from-high,False,"Ithomia are Solanaceae feeders; Acnistus plausible, but Lamas-only catalogue trail caps at literature/medium not high."
assoc_0435,Ithomia agnosia,Physalis spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; host-genus-atypical-physalis,False,"Physalis is a less typical but Solanaceous Ithomiine host; plausible-uncertain Lamas catalogue record, literature at low confidence."
assoc_0439,Ithomia agnosia,Vassobia spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only,False,"Vassobia is Solanaceae; plausible Ithomia host from Lamas 1985 catalogue record, literature-level."
assoc_0429,Ithomia agnosia,Witheringia spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,needs_check,needs_check,low,beccaloni-dubious-marker; catalogue-only; host-genus-only; confidence-downgraded-from-high,True,"Witheringia is a core Ithomiine host, but Beccaloni flags this row dubious; keep needs_check despite plausible taxonomy."
assoc_0464,Ithomia lichyi,Aureliana spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; confidence-downgraded-from-high,False,Aureliana is Solanaceae and a plausible Ithomia host; Lamas-only catalogue trail caps at literature/medium not high.
assoc_0472,Ithomia salapia,Physalis spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only; host-genus-atypical-physalis; duplicate-key-in-csv,False,"Physalis is atypical but Solanaceous; plausible-uncertain Ithomia salapia host from Lamas catalogue, literature at low confidence."
assoc_0547,Mechanitis mazaeus,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,catalogue-only; host-genus-only,False,"Mechanitis are classic Solanum specialists; pairing core and plausible, Lamas 1985 catalogue record at literature level."
assoc_0565,Mechanitis polymnia,Cyphomandra spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host,False,Mechanitis are classic Solanaceae feeders; Cyphomandra (Solanum s.l.) is a documented host. Catalogue row w/ Lamas 1985 embedded; literature-level.
assoc_0620,Melinaea lilis,Juanulloa spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host,False,"Melinaea use epiphytic Solanaceae (Juanulloa, Markea); plausible. Beccaloni catalogue row citing Lamas 1985; literature-level, not directly verified."
assoc_0621,Melinaea lilis,Markea spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host; duplicate-key-in-csv,False,Melinaea on epiphytic Solanaceae Markea is plausible. Catalogue row w/ Lamas 1985; literature-level. Worklist flagged duplicate key.
assoc_0631,Melinaea marsaeus,Markea spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host,False,Melinaea on Markea (epiphytic Solanaceae) plausible; Beccaloni catalogue row citing Lamas 1985; literature-level.
assoc_0634,Melinaea menophilus,Juanulloa spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,medium,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host; duplicate-key-in-csv,True,Melinaea on epiphytic Solanaceae Juanulloa plausible; catalogue row w/ Lamas 1985; literature-level.
assoc_0636,Melinaea menophilus,Markea spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,beccaloni-catalogue-row; beccaloni-dubious-marker; lamas-only-source-trail; genus-level-host,False,"Taxon plausible (Melinaea on Markea), but Beccaloni flags row as dubious; keep low/needs-check until primary source confirms."
assoc_0642,Methona confusa,Brunfelsia spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host; duplicate-key-in-csv,False,Methona are canonical Brunfelsia specialists; highly plausible. Catalogue row w/ Lamas 1985; literature-level.
assoc_0647,Methona curvifascia,Brunfelsia spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,medium,beccaloni-catalogue-row; beccaloni-dubious-marker; lamas-only-source-trail; genus-level-host,True,"Methona/Brunfelsia is the canonical pairing, so plausible despite Beccaloni dubious marker; literature-level, verify primary source."
assoc_0677,Oleria astrea,Lycianthes spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,beccaloni-catalogue-row; beccaloni-dubious-marker; lamas-only-source-trail; genus-level-host,False,"Oleria use understory Solanaceae (Lycianthes, Witheringia); plausible despite dubious marker. Catalogue row w/ Lamas 1985; literature-level."
assoc_0678,Oleria astrea,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,needs_check,low,beccaloni-catalogue-row; beccaloni-dubious-marker; lamas-only-source-trail; genus-level-host,False,"Oleria on Solanum plausible; Beccaloni dubious marker. Note doi_or_url points to a CABI immature-stages page; catalogue-level Lamas 1985 trail, literature."
assoc_0683,Oleria onega,Lycianthes spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host,False,Oleria on understory Solanaceae Lycianthes plausible; catalogue row w/ Lamas 1985; literature-level.
assoc_0688,Oleria onega,Solanum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host; duplicate-key-in-csv,False,Oleria on Solanum plausible; catalogue row w/ Lamas 1985; literature-level. Worklist notes key duplicated 4x.
assoc_0724,Pseudoscada timna,Cestrum spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host,False,Pseudoscada (Godyridina) on Cestrum is plausible Solanaceae use; catalogue row w/ Lamas 1985; literature-level.
assoc_0784,Sais rosalia,Lycianthes spp. (Solanaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host,False,Sais (Oleriina) on understory Solanaceae Lycianthes plausible; catalogue row w/ Lamas 1985; literature-level.
assoc_0804,Tithorea harmonia,Mesechites spp. (Apocynaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host; apocynaceae-host-tithorea-clade,False,Tithorea is an Apocynaceae-feeding ithomiine; Mesechites is a documented host. Catalogue row w/ Lamas 1985; literature-level.
assoc_0808,Tithorea harmonia,Prestonia spp. (Apocynaceae),Lamas 1985,plausible,plausible_uncertain,literature,literature,low,beccaloni-catalogue-row; lamas-only-source-trail; genus-level-host; apocynaceae-host-tithorea-clade; duplicate-key-in-csv,False,Tithorea on Apocynaceae Prestonia is well-documented and plausible; catalogue row w/ Lamas 1985; literature-level.
assoc_0819,Dircenna dero,Solanum scuticum (Solanaceae),"Costa 1999 — Costa, F.A.P.L. (1999) New records of larval host plants for Ithomiinae butterflies (Nymphalidae). Revista Brasileira de Biologia 59(3): 455-459. Documents 17+ new larval hostplant records (predominantly Solanum) for Ithomiinae in Minas Gerais and Brasília, Brazil.",plausible,supports,literature,literature,high,primary-source-confirmed; metadata-cites-wrong-secondary-source,True,Dircenna (Ithomiini) on Solanum is canonical Solanaceae feeding; Costa 1999 is a real primary reared/field source. Recommend literature (not independently re-verified).
assoc_0820,Hypothyris ninonia,Solanum cernuum (Solanaceae),"Costa 1999 — Costa, F.A.P.L. (1999) New records of larval host plants for Ithomiinae butterflies (Nymphalidae). Revista Brasileira de Biologia 59(3): 455-459. Documents 17+ new larval hostplant records (predominantly Solanum) for Ithomiinae in Minas Gerais and Brasília, Brazil.",plausible,supports,literature,literature,high,primary-source-confirmed; metadata-cites-wrong-secondary-source,True,Hypothyris is a well-known Solanaceae feeder; Solanum cernuum host reported in Costa 1999 primary table. Plausible and well-supported; recommend literature.
assoc_0823,Hypothyris ninonia,Solanum leucodendron (Solanaceae),"Costa 1999 — Costa, F.A.P.L. (1999) New records of larval host plants for Ithomiinae butterflies (Nymphalidae). Revista Brasileira de Biologia 59(3): 455-459. Documents 17+ new larval hostplant records (predominantly Solanum) for Ithomiinae in Minas Gerais and Brasília, Brazil.",plausible,plausible_uncertain,literature,literature,medium,primary-source-confirmed; presumed-feeding-marks-only,True,"Plausible Hypothyris/Solanum pairing, but record flagged p=presumed feeding marks (not reared/oviposition), so association weaker; recommend literature, medium confidence."
assoc_0826,Mechanitis lysimnia,Solanum lycocarpum (Solanaceae),"Costa 1999 — Costa, F.A.P.L. (1999) New records of larval host plants for Ithomiinae butterflies (Nymphalidae). Revista Brasileira de Biologia 59(3): 455-459. Documents 17+ new larval hostplant records (predominantly Solanum) for Ithomiinae in Minas Gerais and Brasília, Brazil.",plausible,supports,literature,literature,high,primary-source-confirmed; metadata-cites-wrong-secondary-source,True,"Mechanitis lysimnia is a classic Solanum specialist; S. lycocarpum reared/first record in Costa 1999. Strongly plausible; recommend literature, high confidence."
